After iteration 59: w(A1) = -0.0251, w(A2) = 0.0419, w(A3) = -0.0948, w(A4) = -0.2387, w(A5) = 0.0276, w(A6) = -0.3656, w(A7) = -0.4653, w(A8) = -0.2214, w(A9) = -0.2245, w(A10) = -0.1352, w(A11) = -0.0159, w(A12) = -0.5889, w(A13) = -0.8661, output = 0.1453
After iteration 60: w(A1) = -0.0251, w(A2) = 0.0419, w(A3) = -0.0948, w(A4) = -0.1472, w(A5) = 0.0276, w(A6) = -0.2741, w(A7) = -0.4653, w(A8) = -0.2214, w(A9) = -0.1330, w(A10) = -0.0436, w(A11) = 0.0756, w(A12) = -0.5889, w(A13) = -0.7745, output = 0.2147
After iteration 61: w(A1) = -0.0251, w(A2) = 0.0288, w(A3) = -0.0948, w(A4) = -0.1472, w(A5) = 0.0145, w(A6) = -0.2741, w(A7) = -0.4784, w(A8) = -0.2345, w(A9) = -0.1330, w(A10) = -0.0436, w(A11) = 0.0624, w(A12) = -0.6020, w(A13) = -0.7877, output = 0.1195
After iteration 62: w(A1) = -0.0251, w(A2) = 0.0288, w(A3) = -0.1028, w(A4) = -0.1472, w(A5) = 0.0065, w(A6) = -0.2821, w(A7) = -0.4864, w(A8) = -0.2345, w(A9) = -0.1330, w(A10) = -0.0516, w(A11) = 0.0544, w(A12) = -0.6100, w(A13) = -0.7957, output = 0.0938
After iteration 63: w(A1) = -0.0420, w(A2) = 0.0118, w(A3) = -0.1197, w(A4) = -0.1472, w(A5) = 0.0065, w(A6) = -0.2821, w(A7) = -0.5033, w(A8) = -0.2514, w(A9) = -0.1499, w(A10) = -0.0686, w(A11) = 0.0375, w(A12) = -0.6100, w(A13) = -0.8126, output = 0.1303
After iteration 64: w(A1) = 0.0723, w(A2) = 0.0118, w(A3) = -0.0055, w(A4) = -0.1472, w(A5) = 0.0065, w(A6) = -0.2821, w(A7) = -0.5033, w(A8) = -0.1372, w(A9) = -0.0357, w(A10) = 0.0457, w(A11) = 0.1518, w(A12) = -0.6100, w(A13) = -0.6983, output = 0.3528
After iteration 65: w(A1) = 0.0723, w(A2) = -0.0279, w(A3) = -0.0055, w(A4) = -0.1870, w(A5) = -0.0333, w(A6) = -0.3219, w(A7) = -0.5033, w(A8) = -0.1372, w(A9) = -0.0754, w(A10) = 0.0457, w(A11) = 0.1518, w(A12) = -0.6100, w(A13) = -0.7381, output = 0.2004
After iteration 66: w(A1) = 0.0723, w(A2) = 0.0926, w(A3) = 0.1150, w(A4) = -0.0665, w(A5) = -0.0333, w(A6) = -0.3219, w(A7) = -0.3828, w(A8) = -0.1372, w(A9) = -0.0754, w(A10) = 0.1662, w(A11) = 0.2723, w(A12) = -0.6100, w(A13) = -0.6176, output = 0.3963
After iteration 67: w(A1) = 0.0723, w(A2) = 0.0656, w(A3) = 0.1150, w(A4) = -0.0934, w(A5) = -0.0333, w(A6) = -0.3488, w(A7) = -0.4098, w(A8) = -0.1641, w(A9) = -0.0754, w(A10) = 0.1662, w(A11) = 0.2723, w(A12) = -0.6100, w(A13) = -0.6446, output = 0.1687
After iteration 68: w(A1) = 0.0209, w(A2) = 0.0656, w(A3) = 0.0636, w(A4) = -0.0934, w(A5) = -0.0847, w(A6) = -0.3488, w(A7) = -0.4098, w(A8) = -0.1641, w(A9) = -0.0754, w(A10) = 0.1148, w(A11) = 0.2723, w(A12) = -0.6614, w(A13) = -0.6960, output = 0.2239
After iteration 69: w(A1) = 0.1188, w(A2) = 0.1636, w(A3) = 0.0636, w(A4) = -0.0934, w(A5) = 0.0132, w(A6) = -0.2509, w(A7) = -0.3118, w(A8) = -0.1641, w(A9) = -0.0754, w(A10) = 0.2127, w(A11) = 0.3702, w(A12) = -0.5635, w(A13) = -0.5980, output = 0.3003
