After iteration 1: w(A1) = -0.1125, w(A2) = -0.1125, w(A3) = 0.0000, w(A4) = 0.0000, w(A5) = 0.0000, w(A6) = 0.0000, w(A7) = 0.0000, w(A8) = 0.0000, w(A9) = -0.1125, w(A10) = -0.1125, w(A11) = 0.0000, w(A12) = 0.0000, w(A13) = -0.1125, output = 0.3630
After iteration 241: w(A1) = 0.2085, w(A2) = 0.3451, w(A3) = 0.3048, w(A4) = -0.2382, w(A5) = 0.0429, w(A6) = -0.0955, w(A7) = -1.1182, w(A8) = -0.0076, w(A9) = 0.6481, w(A10) = 0.3750, w(A11) = 1.5855, w(A12) = -1.0884, w(A13) = -0.8215, output = 0.7421
After iteration 242: w(A1) = 0.2085, w(A2) = 0.2228, w(A3) = 0.1825, w(A4) = -0.2382, w(A5) = 0.0429, w(A6) = -0.0955, w(A7) = -1.1182, w(A8) = -0.1299, w(A9) = 0.6481, w(A10) = 0.2527, w(A11) = 1.5855, w(A12) = -1.0884, w(A13) = -0.9438, output = 0.3975
After iteration 243: w(A1) = 0.1870, w(A2) = 0.2013, w(A3) = 0.1825, w(A4) = -0.2382, w(A5) = 0.0214, w(A6) = -0.0955, w(A7) = -1.1397, w(A8) = -0.1299, w(A9) = 0.6481, w(A10) = 0.2527, w(A11) = 1.5855, w(A12) = -1.0884, w(A13) = -0.9653, output = 0.1551
After iteration 244: w(A1) = 0.1870, w(A2) = 0.2013, w(A3) = 0.1277, w(A4) = -0.2382, w(A5) = 0.0214, w(A6) = -0.1502, w(A7) = -1.1397, w(A8) = -0.1299, w(A9) = 0.6481, w(A10) = 0.2527, w(A11) = 1.5855, w(A12) = -1.0884, w(A13) = -1.0201, output = 0.2606
After iteration 245: w(A1) = 0.1870, w(A2) = 0.0692, w(A3) = -0.0044, w(A4) = -0.3703, w(A5) = -0.1107, w(A6) = -0.2823, w(A7) = -1.1397, w(A8) = -0.1299, w(A9) = 0.6481, w(A10) = 0.2527, w(A11) = 1.4534, w(A12) = -1.0884, w(A13) = -1.1522, output = 0.4020
After iteration 246: w(A1) = 0.3160, w(A2) = 0.1982, w(A3) = -0.0044, w(A4) = -0.2412, w(A5) = -0.1107, w(A6) = -0.2823, w(A7) = -1.1397, w(A8) = -0.1299, w(A9) = 0.6481, w(A10) = 0.3817, w(A11) = 1.4534, w(A12) = -1.0884, w(A13) = -1.0232, output = 0.4089
After iteration 247: w(A1) = 0.3142, w(A2) = 0.1982, w(A3) = -0.0044, w(A4) = -0.2430, w(A5) = -0.1125, w(A6) = -0.2823, w(A7) = -1.1415, w(A8) = -0.1317, w(A9) = 0.6481, w(A10) = 0.3799, w(A11) = 1.4534, w(A12) = -1.0902, w(A13) = -1.0250, output = 0.0452
After iteration 248: w(A1) = 0.3142, w(A2) = 0.0787, w(A3) = -0.1239, w(A4) = -0.3626, w(A5) = -0.2321, w(A6) = -0.2823, w(A7) = -1.1415, w(A8) = -0.2512, w(A9) = 0.6481, w(A10) = 0.3799, w(A11) = 1.3339, w(A12) = -1.0902, w(A13) = -1.1445, output = 0.3314
After iteration 249: w(A1) = 0.2829, w(A2) = 0.0787, w(A3) = -0.1239, w(A4) = -0.3938, w(A5) = -0.2633, w(A6) = -0.3136, w(A7) = -1.1415, w(A8) = -0.2512, w(A9) = 0.6481, w(A10) = 0.3486, w(A11) = 1.3339, w(A12) = -1.0902, w(A13) = -1.1758, output = 0.1802
After iteration 250: w(A1) = 0.2829, w(A2) = 0.0774, w(A3) = -0.1239, w(A4) = -0.3938, w(A5) = -0.2633, w(A6) = -0.3148, w(A7) = -1.1427, w(A8) = -0.2525, w(A9) = 0.6469, w(A10) = 0.3486, w(A11) = 1.3339, w(A12) = -1.0914, w(A13) = -1.1770, output = 0.0372
After iteration 251: w(A1) = 0.2829, w(A2) = 0.1784, w(A3) = -0.0230, w(A4) = -0.3938, w(A5) = -0.2633, w(A6) = -0.2139, w(A7) = -1.1427, w(A8) = -0.1515, w(A9) = 0.7478, w(A10) = 0.3486, w(A11) = 1.4348, w(A12) = -1.0914, w(A13) = -1.0761, output = 0.7102
After iteration 252: w(A1) = 0.2829, w(A2) = 0.1531, w(A3) = -0.0483, w(A4) = -0.3938, w(A5) = -0.2633, w(A6) = -0.2391, w(A7) = -1.1427, w(A8) = -0.1515, w(A9) = 0.7225, w(A10) = 0.3486, w(A11) = 1.4348, w(A12) = -1.1167, w(A13) = -1.1013, output = 0.1639
After iteration 253: w(A1) = 0.2829, w(A2) = 0.1429, w(A3) = -0.0585, w(A4) = -0.3938, w(A5) = -0.2633, w(A6) = -0.2493, w(A7) = -1.1529, w(A8) = -0.1515, w(A9) = 0.7225, w(A10) = 0.3486, w(A11) = 1.4246, w(A12) = -1.1269, w(A13) = -1.1115, output = 0.1061
After iteration 254: w(A1) = 0.1832, w(A2) = 0.1429, w(A3) = -0.0585, w(A4) = -0.3938, w(A5) = -0.2633, w(A6) = -0.2493, w(A7) = -1.2527, w(A8) = -0.1515, w(A9) = 0.7225, w(A10) = 0.2489, w(A11) = 1.3249, w(A12) = -1.1269, w(A13) = -1.2113, output = 0.3303
After iteration 255: w(A1) = 0.2835, w(A2) = 0.1429, w(A3) = 0.0418, w(A4) = -0.2936, w(A5) = -0.2633, w(A6) = -0.1491, w(A7) = -1.2527, w(A8) = -0.0513, w(A9) = 0.7225, w(A10) = 0.2489, w(A11) = 1.4252, w(A12) = -1.0266, w(A13) = -1.1110, output = 0.2930
After iteration 256: w(A1) = 0.2835, w(A2) = 0.0685, w(A3) = -0.0326, w(A4) = -0.2936, w(A5) = -0.2633, w(A6) = -0.1491, w(A7) = -1.2527, w(A8) = -0.1257, w(A9) = 0.7225, w(A10) = 0.2489, w(A11) = 1.3508, w(A12) = -1.1010, w(A13) = -1.1854, output = 0.2640
After iteration 257: w(A1) = 0.2761, w(A2) = 0.0611, w(A3) = -0.0400, w(A4) = -0.2936, w(A5) = -0.2633, w(A6) = -0.1491, w(A7) = -1.2601, w(A8) = -0.1257, w(A9) = 0.7151, w(A10) = 0.2415, w(A11) = 1.3508, w(A12) = -1.1085, w(A13) = -1.1928, output = 0.0905
After iteration 258: w(A1) = 0.2761, w(A2) = 0.0611, w(A3) = -0.0400, w(A4) = -0.3072, w(A5) = -0.2633, w(A6) = -0.1491, w(A7) = -1.2601, w(A8) = -0.1257, w(A9) = 0.7014, w(A10) = 0.2415, w(A11) = 1.3508, w(A12) = -1.1221, w(A13) = -1.2065, output = 0.1263
After iteration 259: w(A1) = 0.4085, w(A2) = 0.0611, w(A3) = -0.0400, w(A4) = -0.3072, w(A5) = -0.1309, w(A6) = -0.0166, w(A7) = -1.1277, w(A8) = -0.1257, w(A9) = 0.8338, w(A10) = 0.2415, w(A11) = 1.4832, w(A12) = -1.1221, w(A13) = -1.0741, output = 0.5930
After iteration 260: w(A1) = 0.4085, w(A2) = -0.0029, w(A3) = -0.0400, w(A4) = -0.3712, w(A5) = -0.1309, w(A6) = -0.0806, w(A7) = -1.1277, w(A8) = -0.1257, w(A9) = 0.8338, w(A10) = 0.1775, w(A11) = 1.4192, w(A12) = -1.1861, w(A13) = -1.1380, output = 0.2347
After iteration 261: w(A1) = 0.4085, w(A2) = -0.0298, w(A3) = -0.0400, w(A4) = -0.3712, w(A5) = -0.1309, w(A6) = -0.0806, w(A7) = -1.1546, w(A8) = -0.1257, w(A9) = 0.8069, w(A10) = 0.1775, w(A11) = 1.4192, w(A12) = -1.1861, w(A13) = -1.1649, output = 0.1762
After iteration 262: w(A1) = 0.2984, w(A2) = -0.1398, w(A3) = -0.1501, w(A4) = -0.3712, w(A5) = -0.2409, w(A6) = -0.0806, w(A7) = -1.1546, w(A8) = -0.2357, w(A9) = 0.6969, w(A10) = 0.1775, w(A11) = 1.3092, w(A12) = -1.2961, w(A13) = -1.2750, output = 0.2625
After iteration 263: w(A1) = 0.2984, w(A2) = -0.1597, w(A3) = -0.1501, w(A4) = -0.3712, w(A5) = -0.2608, w(A6) = -0.1005, w(A7) = -1.1745, w(A8) = -0.2556, w(A9) = 0.6969, w(A10) = 0.1576, w(A11) = 1.2893, w(A12) = -1.2961, w(A13) = -1.2949, output = 0.1420
After iteration 264: w(A1) = 0.2871, w(A2) = -0.1710, w(A3) = -0.1501, w(A4) = -0.3712, w(A5) = -0.2721, w(A6) = -0.1005, w(A7) = -1.1857, w(A8) = -0.2669, w(A9) = 0.6856, w(A10) = 0.1464, w(A11) = 1.2780, w(A12) = -1.3074, w(A13) = -1.3062, output = 0.1079
After iteration 265: w(A1) = 0.2859, w(A2) = -0.1722, w(A3) = -0.1501, w(A4) = -0.3712, w(A5) = -0.2734, w(A6) = -0.1017, w(A7) = -1.1870, w(A8) = -0.2669, w(A9) = 0.6843, w(A10) = 0.1451, w(A11) = 1.2780, w(A12) = -1.3087, w(A13) = -1.3074, output = 0.0379
After iteration 266: w(A1) = 0.2859, w(A2) = -0.1722, w(A3) = -0.1687, w(A4) = -0.3898, w(A5) = -0.2734, w(A6) = -0.1017, w(A7) = -1.1870, w(A8) = -0.2669, w(A9) = 0.6843, w(A10) = 0.1265, w(A11) = 1.2780, w(A12) = -1.3087, w(A13) = -1.3260, output = 0.1470
After iteration 267: w(A1) = 0.4185, w(A2) = -0.1722, w(A3) = -0.0361, w(A4) = -0.2572, w(A5) = -0.2734, w(A6) = -0.1017, w(A7) = -1.0544, w(A8) = -0.2669, w(A9) = 0.8169, w(A10) = 0.1265, w(A11) = 1.4106, w(A12) = -1.3087, w(A13) = -1.1934, output = 0.5262
After iteration 268: w(A1) = 0.4185, w(A2) = -0.1722, w(A3) = -0.0361, w(A4) = -0.2120, w(A5) = -0.2282, w(A6) = -0.1017, w(A7) = -1.0092, w(A8) = -0.2217, w(A9) = 0.8169, w(A10) = 0.1717, w(A11) = 1.4558, w(A12) = -1.2635, w(A13) = -1.1482, output = 0.0791
After iteration 269: w(A1) = 0.4866, w(A2) = -0.1722, w(A3) = 0.0321, w(A4) = -0.1438, w(A5) = -0.2282, w(A6) = -0.1017, w(A7) = -1.0092, w(A8) = -0.1535, w(A9) = 0.8169, w(A10) = 0.2399, w(A11) = 1.4558, w(A12) = -1.1953, w(A13) = -1.0801, output = 0.1401
After iteration 270: w(A1) = 0.4866, w(A2) = -0.0392, w(A3) = 0.1651, w(A4) = -0.1438, w(A5) = -0.2282, w(A6) = -0.1017, w(A7) = -0.8762, w(A8) = -0.1535, w(A9) = 0.8169, w(A10) = 0.2399, w(A11) = 1.5889, w(A12) = -1.1953, w(A13) = -0.9470, output = 0.4729
After iteration 271: w(A1) = 0.4143, w(A2) = -0.0392, w(A3) = 0.1651, w(A4) = -0.1438, w(A5) = -0.3005, w(A6) = -0.1741, w(A7) = -0.9485, w(A8) = -0.2258, w(A9) = 0.7446, w(A10) = 0.2399, w(A11) = 1.5166, w(A12) = -1.2676, w(A13) = -1.0193, output = 0.2209
After iteration 272: w(A1) = 0.3444, w(A2) = -0.1092, w(A3) = 0.1651, w(A4) = -0.1438, w(A5) = -0.3005, w(A6) = -0.1741, w(A7) = -0.9485, w(A8) = -0.2258, w(A9) = 0.7446, w(A10) = 0.2399, w(A11) = 1.5166, w(A12) = -1.2676, w(A13) = -1.0893, output = 0.2986
After iteration 273: w(A1) = 0.3444, w(A2) = -0.0174, w(A3) = 0.2569, w(A4) = -0.0521, w(A5) = -0.2087, w(A6) = -0.0823, w(A7) = -0.8567, w(A8) = -0.1340, w(A9) = 0.8364, w(A10) = 0.3316, w(A11) = 1.5166, w(A12) = -1.2676, w(A13) = -0.9975, output = 0.2842
After iteration 274: w(A1) = 0.3444, w(A2) = -0.0207, w(A3) = 0.2569, w(A4) = -0.0554, w(A5) = -0.2121, w(A6) = -0.0823, w(A7) = -0.8601, w(A8) = -0.1374, w(A9) = 0.8330, w(A10) = 0.3316, w(A11) = 1.5166, w(A12) = -1.2710, w(A13) = -1.0009, output = 0.0615
After iteration 275: w(A1) = 0.2175, w(A2) = -0.0207, w(A3) = 0.2569, w(A4) = -0.1823, w(A5) = -0.2121, w(A6) = -0.0823, w(A7) = -0.8601, w(A8) = -0.2643, w(A9) = 0.7061, w(A10) = 0.2047, w(A11) = 1.5166, w(A12) = -1.2710, w(A13) = -1.1278, output = 0.3903
After iteration 276: w(A1) = 0.2175, w(A2) = -0.0252, w(A3) = 0.2569, w(A4) = -0.1867, w(A5) = -0.2165, w(A6) = -0.0867, w(A7) = -0.8645, w(A8) = -0.2687, w(A9) = 0.7061, w(A10) = 0.2003, w(A11) = 1.5166, w(A12) = -1.2710, w(A13) = -1.1322, output = 0.0704
After iteration 277: w(A1) = 0.2175, w(A2) = -0.0252, w(A3) = 0.3105, w(A4) = -0.1867, w(A5) = -0.1629, w(A6) = -0.0331, w(A7) = -0.8109, w(A8) = -0.2687, w(A9) = 0.7597, w(A10) = 0.2003, w(A11) = 1.5166, w(A12) = -1.2174, w(A13) = -1.0786, output = 0.0968
After iteration 278: w(A1) = 0.1858, w(A2) = -0.0568, w(A3) = 0.3105, w(A4) = -0.1867, w(A5) = -0.1946, w(A6) = -0.0331, w(A7) = -0.8109, w(A8) = -0.3004, w(A9) = 0.7597, w(A10) = 0.2003, w(A11) = 1.5166, w(A12) = -1.2174, w(A13) = -1.1103, output = 0.1860
After iteration 279: w(A1) = 0.2679, w(A2) = -0.0568, w(A3) = 0.3105, w(A4) = -0.1047, w(A5) = -0.1946, w(A6) = -0.0331, w(A7) = -0.7288, w(A8) = -0.2183, w(A9) = 0.7597, w(A10) = 0.2823, w(A11) = 1.5166, w(A12) = -1.2174, w(A13) = -1.0282, output = 0.1780
After iteration 280: w(A1) = 0.2679, w(A2) = -0.0568, w(A3) = 0.3105, w(A4) = -0.1119, w(A5) = -0.2018, w(A6) = -0.0331, w(A7) = -0.7288, w(A8) = -0.2183, w(A9) = 0.7597, w(A10) = 0.2751, w(A11) = 1.5166, w(A12) = -1.2246, w(A13) = -1.0355, output = 0.0912
After iteration 281: w(A1) = 0.3225, w(A2) = -0.0568, w(A3) = 0.3651, w(A4) = -0.1119, w(A5) = -0.1472, w(A6) = 0.0215, w(A7) = -0.7288, w(A8) = -0.1637, w(A9) = 0.7597, w(A10) = 0.3297, w(A11) = 1.5712, w(A12) = -1.2246, w(A13) = -0.9809, output = 0.7889
After iteration 282: w(A1) = 0.3225, w(A2) = -0.1141, w(A3) = 0.3078, w(A4) = -0.1693, w(A5) = -0.1472, w(A6) = 0.0215, w(A7) = -0.7862, w(A8) = -0.1637, w(A9) = 0.7597, w(A10) = 0.2724, w(A11) = 1.5138, w(A12) = -1.2820, w(A13) = -1.0382, output = 0.2149
After iteration 283: w(A1) = 0.3225, w(A2) = -0.2381, w(A3) = 0.3078, w(A4) = -0.1693, w(A5) = -0.2712, w(A6) = -0.1025, w(A7) = -0.7862, w(A8) = -0.1637, w(A9) = 0.7597, w(A10) = 0.2724, w(A11) = 1.3899, w(A12) = -1.2820, w(A13) = -1.1622, output = 0.4051
After iteration 284: w(A1) = 0.2600, w(A2) = -0.2381, w(A3) = 0.3078, w(A4) = -0.1693, w(A5) = -0.2712, w(A6) = -0.1025, w(A7) = -0.8486, w(A8) = -0.2262, w(A9) = 0.6973, w(A10) = 0.2099, w(A11) = 1.3899, w(A12) = -1.2820, w(A13) = -1.2246, output = 0.2438
After iteration 285: w(A1) = 0.3890, w(A2) = -0.1091, w(A3) = 0.4368, w(A4) = -0.0403, w(A5) = -0.2712, w(A6) = -0.1025, w(A7) = -0.8486, w(A8) = -0.0972, w(A9) = 0.8263, w(A10) = 0.3389, w(A11) = 1.3899, w(A12) = -1.2820, w(A13) = -1.0956, output = 0.6568
After iteration 286: w(A1) = 0.3890, w(A2) = -0.2170, w(A3) = 0.3289, w(A4) = -0.1482, w(A5) = -0.2712, w(A6) = -0.1025, w(A7) = -0.8486, w(A8) = -0.2050, w(A9) = 0.7184, w(A10) = 0.3389, w(A11) = 1.3899, w(A12) = -1.2820, w(A13) = -1.2035, output = 0.3260
After iteration 287: w(A1) = 0.3890, w(A2) = -0.2170, w(A3) = 0.2277, w(A4) = -0.1482, w(A5) = -0.3724, w(A6) = -0.1025, w(A7) = -0.8486, w(A8) = -0.3063, w(A9) = 0.6172, w(A10) = 0.2377, w(A11) = 1.2886, w(A12) = -1.3832, w(A13) = -1.3047, output = 0.2699
After iteration 288: w(A1) = 0.3890, w(A2) = -0.1440, w(A3) = 0.3007, w(A4) = -0.0751, w(A5) = -0.3724, w(A6) = -0.0295, w(A7) = -0.8486, w(A8) = -0.3063, w(A9) = 0.6902, w(A10) = 0.3108, w(A11) = 1.3617, w(A12) = -1.3832, w(A13) = -1.2317, output = 0.7655
After iteration 289: w(A1) = 0.3890, w(A2) = -0.1440, w(A3) = 0.2630, w(A4) = -0.1129, w(A5) = -0.3724, w(A6) = -0.0295, w(A7) = -0.8863, w(A8) = -0.3063, w(A9) = 0.6525, w(A10) = 0.3108, w(A11) = 1.3239, w(A12) = -1.4209, w(A13) = -1.2694, output = 0.1900
After iteration 290: w(A1) = 0.3890, w(A2) = -0.1440, w(A3) = 0.1403, w(A4) = -0.2355, w(A5) = -0.3724, w(A6) = -0.0295, w(A7) = -0.8863, w(A8) = -0.3063, w(A9) = 0.6525, w(A10) = 0.3108, w(A11) = 1.2013, w(A12) = -1.4209, w(A13) = -1.3921, output = 0.4290
After iteration 291: w(A1) = 0.3890, w(A2) = -0.0411, w(A3) = 0.2431, w(A4) = -0.1327, w(A5) = -0.2696, w(A6) = -0.0295, w(A7) = -0.8863, w(A8) = -0.3063, w(A9) = 0.7553, w(A10) = 0.4136, w(A11) = 1.3041, w(A12) = -1.4209, w(A13) = -1.2893, output = 0.7278
After iteration 292: w(A1) = 0.3890, w(A2) = -0.0411, w(A3) = 0.2386, w(A4) = -0.1327, w(A5) = -0.2741, w(A6) = -0.0339, w(A7) = -0.8908, w(A8) = -0.3107, w(A9) = 0.7553, w(A10) = 0.4136, w(A11) = 1.3041, w(A12) = -1.4209, w(A13) = -1.2937, output = 0.0714
After iteration 293: w(A1) = 0.3890, w(A2) = -0.0411, w(A3) = 0.1272, w(A4) = -0.2442, w(A5) = -0.2741, w(A6) = -0.0339, w(A7) = -0.8908, w(A8) = -0.3107, w(A9) = 0.6439, w(A10) = 0.3022, w(A11) = 1.3041, w(A12) = -1.4209, w(A13) = -1.4052, output = 0.3598
After iteration 294: w(A1) = 0.3890, w(A2) = -0.0411, w(A3) = 0.0912, w(A4) = -0.2442, w(A5) = -0.2741, w(A6) = -0.0339, w(A7) = -0.9268, w(A8) = -0.3107, w(A9) = 0.6079, w(A10) = 0.2662, w(A11) = 1.3041, w(A12) = -1.4209, w(A13) = -1.4411, output = 0.1974
After iteration 295: w(A1) = 0.3765, w(A2) = -0.0536, w(A3) = 0.0787, w(A4) = -0.2442, w(A5) = -0.2866, w(A6) = -0.0339, w(A7) = -0.9393, w(A8) = -0.3107, w(A9) = 0.6079, w(A10) = 0.2537, w(A11) = 1.3041, w(A12) = -1.4209, w(A13) = -1.4536, output = 0.1167
After iteration 296: w(A1) = 0.3751, w(A2) = -0.0550, w(A3) = 0.0787, w(A4) = -0.2442, w(A5) = -0.2880, w(A6) = -0.0339, w(A7) = -0.9407, w(A8) = -0.3107, w(A9) = 0.6065, w(A10) = 0.2537, w(A11) = 1.3041, w(A12) = -1.4223, w(A13) = -1.4550, output = 0.0399
After iteration 297: w(A1) = 0.3751, w(A2) = -0.0811, w(A3) = 0.0527, w(A4) = -0.2442, w(A5) = -0.3140, w(A6) = -0.0600, w(A7) = -0.9407, w(A8) = -0.3368, w(A9) = 0.5804, w(A10) = 0.2537, w(A11) = 1.3041, w(A12) = -1.4223, w(A13) = -1.4811, output = 0.1625
After iteration 298: w(A1) = 0.3751, w(A2) = -0.0832, w(A3) = 0.0506, w(A4) = -0.2462, w(A5) = -0.3140, w(A6) = -0.0621, w(A7) = -0.9428, w(A8) = -0.3389, w(A9) = 0.5804, w(A10) = 0.2516, w(A11) = 1.3020, w(A12) = -1.4244, w(A13) = -1.4832, output = 0.0485
After iteration 299: w(A1) = 0.3273, w(A2) = -0.0832, w(A3) = 0.0027, w(A4) = -0.2941, w(A5) = -0.3140, w(A6) = -0.1099, w(A7) = -0.9428, w(A8) = -0.3867, w(A9) = 0.5326, w(A10) = 0.2037, w(A11) = 1.2541, w(A12) = -1.4723, w(A13) = -1.5310, output = 0.1864
After iteration 300: w(A1) = 0.4524, w(A2) = 0.0420, w(A3) = 0.1279, w(A4) = -0.2941, w(A5) = -0.1888, w(A6) = -0.1099, w(A7) = -0.8176, w(A8) = -0.2616, w(A9) = 0.6577, w(A10) = 0.2037, w(A11) = 1.3793, w(A12) = -1.4723, w(A13) = -1.4059, output = 0.4964
After iteration 301: w(A1) = 0.4428, w(A2) = 0.0420, w(A3) = 0.1182, w(A4) = -0.2941, w(A5) = -0.1985, w(A6) = -0.1099, w(A7) = -0.8273, w(A8) = -0.2712, w(A9) = 0.6577, w(A10) = 0.2037, w(A11) = 1.3793, w(A12) = -1.4723, w(A13) = -1.4155, output = 0.1042
After iteration 302: w(A1) = 0.4428, w(A2) = -0.0111, w(A3) = 0.0651, w(A4) = -0.2941, w(A5) = -0.2516, w(A6) = -0.1630, w(A7) = -0.8273, w(A8) = -0.2712, w(A9) = 0.6046, w(A10) = 0.2037, w(A11) = 1.3793, w(A12) = -1.4723, w(A13) = -1.4686, output = 0.2271
After iteration 303: w(A1) = 0.4428, w(A2) = -0.0400, w(A3) = 0.0651, w(A4) = -0.3230, w(A5) = -0.2516, w(A6) = -0.1919, w(A7) = -0.8561, w(A8) = -0.2712, w(A9) = 0.6046, w(A10) = 0.2037, w(A11) = 1.3504, w(A12) = -1.4723, w(A13) = -1.4975, output = 0.1739
After iteration 304: w(A1) = 0.5525, w(A2) = -0.0400, w(A3) = 0.1749, w(A4) = -0.3230, w(A5) = -0.2516, w(A6) = -0.0822, w(A7) = -0.7464, w(A8) = -0.1615, w(A9) = 0.7144, w(A10) = 0.3135, w(A11) = 1.3504, w(A12) = -1.4723, w(A13) = -1.3877, output = 0.3492
After iteration 305: w(A1) = 0.5525, w(A2) = -0.0411, w(A3) = 0.1738, w(A4) = -0.3241, w(A5) = -0.2527, w(A6) = -0.0822, w(A7) = -0.7464, w(A8) = -0.1615, w(A9) = 0.7144, w(A10) = 0.3135, w(A11) = 1.3504, w(A12) = -1.4734, w(A13) = -1.3888, output = 0.0354
After iteration 306: w(A1) = 0.5525, w(A2) = -0.0411, w(A3) = 0.1360, w(A4) = -0.3241, w(A5) = -0.2904, w(A6) = -0.0822, w(A7) = -0.7841, w(A8) = -0.1615, w(A9) = 0.6766, w(A10) = 0.2757, w(A11) = 1.3504, w(A12) = -1.4734, w(A13) = -1.4266, output = 0.1958
After iteration 307: w(A1) = 0.6144, w(A2) = -0.0411, w(A3) = 0.1980, w(A4) = -0.2622, w(A5) = -0.2904, w(A6) = -0.0822, w(A7) = -0.7841, w(A8) = -0.0996, w(A9) = 0.6766, w(A10) = 0.3377, w(A11) = 1.3504, w(A12) = -1.4115, w(A13) = -1.3646, output = 0.1205
After iteration 308: w(A1) = 0.6785, w(A2) = -0.0411, w(A3) = 0.1980, w(A4) = -0.1981, w(A5) = -0.2904, w(A6) = -0.0181, w(A7) = -0.7200, w(A8) = -0.0355, w(A9) = 0.7407, w(A10) = 0.4017, w(A11) = 1.3504, w(A12) = -1.3474, w(A13) = -1.3006, output = 0.1420
After iteration 309: w(A1) = 0.6006, w(A2) = -0.1190, w(A3) = 0.1980, w(A4) = -0.1981, w(A5) = -0.3683, w(A6) = -0.0181, w(A7) = -0.7979, w(A8) = -0.0355, w(A9) = 0.6628, w(A10) = 0.3238, w(A11) = 1.2725, w(A12) = -1.4253, w(A13) = -1.3785, output = 0.2263
After iteration 310: w(A1) = 0.6006, w(A2) = -0.1190, w(A3) = 0.1851, w(A4) = -0.2110, w(A5) = -0.3812, w(A6) = -0.0181, w(A7) = -0.8108, w(A8) = -0.0484, w(A9) = 0.6499, w(A10) = 0.3238, w(A11) = 1.2725, w(A12) = -1.4253, w(A13) = -1.3914, output = 0.1184
After iteration 311: w(A1) = 0.5745, w(A2) = -0.1190, w(A3) = 0.1590, w(A4) = -0.2370, w(A5) = -0.3812, w(A6) = -0.0181, w(A7) = -0.8369, w(A8) = -0.0484, w(A9) = 0.6499, w(A10) = 0.2978, w(A11) = 1.2464, w(A12) = -1.4514, w(A13) = -1.4174, output = 0.1591
After iteration 312: w(A1) = 0.5745, w(A2) = -0.1190, w(A3) = 0.1526, w(A4) = -0.2435, w(A5) = -0.3812, w(A6) = -0.0181, w(A7) = -0.8433, w(A8) = -0.0484, w(A9) = 0.6499, w(A10) = 0.2978, w(A11) = 1.2464, w(A12) = -1.4514, w(A13) = -1.4239, output = 0.0864
After iteration 313: w(A1) = 0.5496, w(A2) = -0.1439, w(A3) = 0.1277, w(A4) = -0.2683, w(A5) = -0.4061, w(A6) = -0.0181, w(A7) = -0.8433, w(A8) = -0.0733, w(A9) = 0.6499, w(A10) = 0.2978, w(A11) = 1.2464, w(A12) = -1.4514, w(A13) = -1.4487, output = 0.1594
After iteration 314: w(A1) = 0.5496, w(A2) = -0.1456, w(A3) = 0.1259, w(A4) = -0.2683, w(A5) = -0.4079, w(A6) = -0.0199, w(A7) = -0.8433, w(A8) = -0.0733, w(A9) = 0.6499, w(A10) = 0.2960, w(A11) = 1.2464, w(A12) = -1.4532, w(A13) = -1.4505, output = 0.0450
After iteration 315: w(A1) = 0.5096, w(A2) = -0.1857, w(A3) = 0.1259, w(A4) = -0.2683, w(A5) = -0.4079, w(A6) = -0.0599, w(A7) = -0.8433, w(A8) = -0.1133, w(A9) = 0.6499, w(A10) = 0.2960, w(A11) = 1.2464, w(A12) = -1.4532, w(A13) = -1.4906, output = 0.2075
After iteration 316: w(A1) = 0.5096, w(A2) = -0.1857, w(A3) = 0.1259, w(A4) = -0.2739, w(A5) = -0.4134, w(A6) = -0.0654, w(A7) = -0.8488, w(A8) = -0.1133, w(A9) = 0.6444, w(A10) = 0.2960, w(A11) = 1.2464, w(A12) = -1.4532, w(A13) = -1.4961, output = 0.0792
After iteration 317: w(A1) = 0.5096, w(A2) = -0.1857, w(A3) = 0.1259, w(A4) = -0.2739, w(A5) = -0.4140, w(A6) = -0.0660, w(A7) = -0.8494, w(A8) = -0.1133, w(A9) = 0.6438, w(A10) = 0.2960, w(A11) = 1.2464, w(A12) = -1.4537, w(A13) = -1.4967, output = 0.0257
After iteration 318: w(A1) = 0.5096, w(A2) = -0.2499, w(A3) = 0.0617, w(A4) = -0.2739, w(A5) = -0.4140, w(A6) = -0.0660, w(A7) = -0.8494, w(A8) = -0.1775, w(A9) = 0.5796, w(A10) = 0.2317, w(A11) = 1.2464, w(A12) = -1.4537, w(A13) = -1.5609, output = 0.2469
After iteration 319: w(A1) = 0.5032, w(A2) = -0.2564, w(A3) = 0.0617, w(A4) = -0.2739, w(A5) = -0.4204, w(A6) = -0.0660, w(A7) = -0.8558, w(A8) = -0.1775, w(A9) = 0.5796, w(A10) = 0.2253, w(A11) = 1.2464, w(A12) = -1.4537, w(A13) = -1.5673, output = 0.0854
After iteration 320: w(A1) = 0.4886, w(A2) = -0.2564, w(A3) = 0.0617, w(A4) = -0.2884, w(A5) = -0.4204, w(A6) = -0.0806, w(A7) = -0.8704, w(A8) = -0.1921, w(A9) = 0.5650, w(A10) = 0.2107, w(A11) = 1.2318, w(A12) = -1.4683, w(A13) = -1.5819, output = 0.1207
